File name, MAC, Probvector
api-ms-win-core-apiquery-l1-1-0 - Copy (2).dll, bc2342e230358357d8db20f2ecb0ebb1, 0.00598088
api-ms-win-core-apiquery-l1-1-0 - Copy (3).dll, d25f8f8899ff73d0a5cca5117b7b6fa4, 0.006178232
api-ms-win-core-apiquery-l1-1-0 - Copy (4).dll, ea089e050fecf31c1bbd4f34157d77f0, 0.00637681
api-ms-win-core-apiquery-l1-1-0 - Copy.dll, de5d28af785fa3173d949ac9e183be53, 0.006576319
api-ms-win-core-apiquery-l1-1-0.dll, 21ed17e5bfd1f3f68ab63d5e59019d47, 0.006776454
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (2).dll, ed99d8ef2a24718c44ad1af0c3415cf6, 0.006976896
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (3).dll, 068166dda6f1dcd0d390ea9aa5933acc, 0.007177317
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (4).dll, e66c9a71faa0ca4524eb142515ef5fa7, 0.00737738
api-ms-win-downlevel-advapi32-l1-1-0 - Copy.dll, 5e2896cd71123ecd31b79c20052596cd, 0.00757674
api-ms-win-downlevel-advapi32-l1-1-0.dll, 978d2e7ff89660ea93396840b0b58e3d, 0.007775043
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (2).dll, 4a417a16989cbe820be2e6c0fe14f3ce, 0.007971927
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (3).dll, ecda1236f9bb9fa62d7386efb2eae6c2, 0.008167028
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (4).dll, f8f08924d45cd2cad78a3567bee0234f, 0.008359973
api-ms-win-downlevel-advapi32-l1-1-1 - Copy.dll, 15c1cb0041296c9b885c07fbd89f5c65, 0.00855039
api-ms-win-downlevel-advapi32-l1-1-1.dll, d0201114b8e00771cc358c59d43034f4, 0.008737901
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (2).dll, bf27cbafca4766718d509ee771a4ec74, 0.008922128
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (3).dll, 220be46e699c6184cb4895d7836f2c75, 0.009102694
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4).dll, 18ab6f438045a7fd840e4d57bdadfda0, 0.009279223
api-ms-win-downlevel-advapi32-l2-1-0 - Copy.dll, 03167a45f65b9ecdd16f27fa832cab2a, 0.009451341
api-ms-win-downlevel-advapi32-l2-1-0.dll, b40a5788600953e78e90ecb99a0f5145, 0.009618679
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2).dll, 5ebf4a27eba0b1082a42944b7a60c874, 0.009780872
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3).dll, f6ea26a1ba46e6c7706c4c5901c92f3f, 0.009937563
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4).dll, 715cdbd3aacaf44d1ffde8d75e239eb5, 0.010088402
api-ms-win-downlevel-advapi32-l2-1-1 - Copy.dll, 02f74150b10def8a2a2100668a3b6bb3, 0.010233047
